行政區,路名,段、號及其他註明,經度,緯度,備註
北投區,承德路,7段雙號(大同公司站),121.50122,25.12002,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,承德路,7段雙號(大同公司站),121.50128,25.11998,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,公館路,433號對面,121.502064,25.12039,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,2段雙號(護理學院後門右側),121.51907,25.11862,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,2段雙號(榮總站),121.51948,25.11863,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,2段雙號(榮總站),121.51961,25.11862,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,2段322號旁(榮光新村站),121.52275,25.11979,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,2段單號(榮光新村站),121.52261,25.1198,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,2段單號(榮總急診室出入口右側),121.52085,25.11891,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,2段99巷口(永明派出所前三角公園),121.51677,25.11773,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,明德路,365號(振興醫院站),121.52185,25.11759,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,明德路,365號(振興醫院站),121.521724,25.11749,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,天母西路,107號對面(振興公園站),121.52335,25.11876,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,公館路,432號旁,121.502291,25.12073,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,公館路,432號旁,121.502269,25.12068,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,三合街,2段502號前,121.499602,25.12601,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大業路,514號前,121.496084,25.13379,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大業路,12號前,121.499517,25.1228,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大業路,大興街口公車站牌(往台北方向),121.496815,25.1298,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大業路,292號對面公車站牌,121.497725,25.12762,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大業路,368號旁公車站牌,121.497415,25.12915,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大業路,37號旁公車站牌,121.499134,25.12288,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,中央北路,1段73號公車站牌前,121.500995,25.13371,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,中央北路,2段70號前,121.492611,25.1381,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,中央北路,1段73號公車站牌旁,121.50111,25.13369,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,北投路,1段三合街2段口(萊爾富旁),121.500661,25.12603,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,北投路,2段3號公園後(左側),121.497987,25.13206,嚴禁投入家用垃圾，違者重罰新台幣6000元
